Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience
Olivia,Abstract,Surrealism,Mixed Media,"20""x30""",No,Calgary,825,4,Standard,Neutral Tones,Copy,Real,Bedroom,Reflective,Natural Light,Giclée,Art Collectors
Olivia,Fantasy,Surrealism,Watercolor,"20""x30""",Yes,Montreal,127,7,Free Shipping,Earthy Tones,Original,Print,Kid Room,Reflective,Dim Light,Screen Print,Young Professionals
Pablo,Abstract,Surrealism,Watercolor,"24""x36""",No,New York,452,8,Express,Earthy Tones,Original,Real,Office,Calming,Dim Light,N/A,Young Professionals
Frida,Portrait,Abstract Expressionism,Mixed Media,"30""x40""",Yes,Montreal,907,6,Free Shipping,Cool Tones,Original,Print,Bedroom,Joyful,Dim Light,Giclée,Corporate Clients
Ava,Still Life,Realism,Acrylic,"16""x20""",Yes,Vancouver,344,4,Express,Neutral Tones,Copy,Real,Kid Room,Reflective,Natural Light,Fine Art Print,Families
Olivia,Still Life,Modern,Watercolor,"24""x36""",Yes,Calgary,339,10,Standard,Earthy Tones,Copy,Print,Kid Room,Reflective,Natural Light,Fine Art Print,Young Professionals
Claude,Portrait,Impressionism,Oil,"20""x30""",Yes,Toronto,663,6,Express,Oceanic Tones,Copy,Print,Living Room,Joyful,Natural Light,Screen Print,Art Collectors
Leonardo,Abstract,Abstract Expressionism,Charcoal,"16""x20""",No,Los Angeles,221,3,Express,Cool Tones,Original,Print,Bedroom,Calming,Dim Light,Giclée,Corporate Clients
Frida,Landscape,Realism,Oil,"16""x20""",No,Miami,644,8,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Dim Light,N/A,Interior Designers
Leonardo,Wildlife,Cubism,Charcoal,"18""x24""",No,Montreal,505,5,Standard,Neutral Tones,Copy,Print,Bedroom,Joyful,Dim Light,Lithograph,Interior Designers
Emma,Landscape,Impressionism,Mixed Media,"18""x24""",Yes,Chicago,505,10,Express,Warm Tones,Original,Real,Bedroom,Joyful,Bright Light,N/A,Families
Olivia,Seascape,Abstract Expressionism,Charcoal,"18""x24""",No,New York,450,3,Standard,Neutral Tones,Original,Print,Gallery,Joyful,Bright Light,N/A,Art Collectors
Frida,Fantasy,Surrealism,Oil,"16""x20""",No,Los Angeles,907,9,Standard,Neutral Tones,Original,Print,Gallery,Calming,Bright Light,Screen Print,Corporate Clients
Vincent,Still Life,Realism,Oil,"30""x40""",Yes,Miami,623,9,Standard,Neutral Tones,Copy,Real,Living Room,Relaxing,Bright Light,Screen Print,Families
Frida,Portrait,Modern,Oil,"16""x20""",No,Chicago,161,4,Standard,Cool Tones,Copy,Print,Gallery,Relaxing,Natural Light,Lithograph,Corporate Clients
Liam,Still Life,Cubism,Oil,"30""x40""",Yes,Toronto,644,8,Express,Cool Tones,Copy,Real,Gallery,Calming,Bright Light,Lithograph,Families
Emma,Still Life,Cubism,Charcoal,"16""x20""",No,Calgary,130,5,Standard,Warm Tones,Copy,Print,Kid Room,Joyful,Dim Light,Lithograph,Art Collectors
Leonardo,Fantasy,Cubism,Mixed Media,"24""x36""",No,Los Angeles,840,6,Express,Warm Tones,Original,Print,Bedroom,Calming,Bright Light,Giclée,Interior Designers
Ava,Landscape,Realism,Charcoal,"30""x40""",No,Chicago,558,7,Express,Earthy Tones,Original,Real,Office,Joyful,Natural Light,Giclée,Families
Leonardo,Seascape,Impressionism,Charcoal,"16""x20""",Yes,Toronto,605,7,Express,Warm Tones,Original,Real,Bedroom,Energetic,Bright Light,Giclée,Art Collectors
Ava,Portrait,Surrealism,Charcoal,"16""x20""",Yes,Miami,868,8,Standard,Earthy Tones,Original,Real,Living Room,Calming,Natural Light,N/A,Art Collectors
Jija,Seascape,Surrealism,Watercolor,"18""x24""",Yes,Montreal,171,3,Express,Cool Tones,Original,Print,Bedroom,Reflective,Bright Light,N/A,Art Collectors
Pablo,Wildlife,Modern,Oil,"20""x30""",No,Calgary,663,7,Free Shipping,Cool Tones,Original,Print,Living Room,Energetic,Dim Light,N/A,Families
Pablo,Wildlife,Impressionism,Oil,"16""x20""",No,Los Angeles,746,8,Express,Earthy Tones,Copy,Print,Gallery,Calming,Natural Light,Lithograph,Families
Vincent,Landscape,Abstract Expressionism,Oil,"24""x36""",Yes,Miami,854,7,Standard,Cool Tones,Copy,Print,Gallery,Relaxing,Bright Light,Lithograph,Art Collectors
Leonardo,Wildlife,Realism,Mixed Media,"16""x20""",Yes,Los Angeles,127,9,Standard,Earthy Tones,Copy,Print,Living Room,Energetic,Dim Light,Screen Print,Art Collectors
Noah,Wildlife,Modern,Watercolor,"18""x24""",Yes,Montreal,368,6,Express,Warm Tones,Copy,Real,Bedroom,Energetic,Bright Light,Giclée,Art Collectors
Frida,Seascape,Realism,Watercolor,"30""x40""",Yes,Chicago,965,5,Express,Oceanic Tones,Original,Print,Office,Energetic,Natural Light,Giclée,Corporate Clients
Jija,Wildlife,Surrealism,Watercolor,"20""x30""",No,Montreal,719,9,Express,Oceanic Tones,Copy,Print,Kid Room,Relaxing,Dim Light,N/A,Interior Designers
Claude,Landscape,Abstract Expressionism,Oil,"24""x36""",Yes,Los Angeles,197,7,Standard,Warm Tones,Copy,Real,Gallery,Reflective,Natural Light,Giclée,Corporate Clients
Pablo,Seascape,Surrealism,Acrylic,"18""x24""",No,Calgary,965,9,Express,Earthy Tones,Copy,Print,Living Room,Energetic,Natural Light,Giclée,Corporate Clients
Noah,Abstract,Modern,Oil,"30""x40""",No,Los Angeles,222,3,Standard,Oceanic Tones,Copy,Real,Kid Room,Relaxing,Dim Light,Fine Art Print,Interior Designers
Noah,Seascape,Cubism,Charcoal,"20""x30""",Yes,Montreal,727,8,Standard,Warm Tones,Original,Real,Gallery,Energetic,Bright Light,N/A,Young Professionals
Claude,Still Life,Modern,Watercolor,"18""x24""",Yes,Montreal,719,6,Express,Oceanic Tones,Copy,Print,Living Room,Reflective,Bright Light,Lithograph,Art Collectors
Emma,Still Life,Abstract Expressionism,Charcoal,"30""x40""",Yes,Calgary,657,10,Free Shipping,Neutral Tones,Original,Real,Living Room,Calming,Bright Light,Lithograph,Corporate Clients
Vincent,Abstract,Modern,Charcoal,"30""x40""",No,Chicago,469,7,Express,Earthy Tones,Original,Real,Gallery,Relaxing,Bright Light,Lithograph,Art Collectors
Liam,Still Life,Cubism,Watercolor,"18""x24""",Yes,Toronto,943,8,Express,Warm Tones,Copy,Real,Gallery,Reflective,Natural Light,Lithograph,Corporate Clients
Noah,Still Life,Abstract Expressionism,Oil,"18""x24""",Yes,Toronto,515,6,Free Shipping,Neutral Tones,Original,Real,Gallery,Energetic,Dim Light,Giclée,Interior Designers
Frida,Fantasy,Realism,Mixed Media,"20""x30""",No,Los Angeles,924,5,Standard,Oceanic Tones,Original,Real,Office,Reflective,Dim Light,Giclée,Families
Vincent,Abstract,Cubism,Watercolor,"16""x20""",No,Chicago,272,6,Free Shipping,Oceanic Tones,Original,Real,Gallery,Energetic,Natural Light,N/A,Families
Claude,Portrait,Cubism,Oil,"20""x30""",No,Vancouver,891,6,Standard,Oceanic Tones,Copy,Print,Gallery,Joyful,Natural Light,N/A,Families
Pablo,Seascape,Modern,Acrylic,"30""x40""",No,Vancouver,499,9,Free Shipping,Earthy Tones,Copy,Print,Office,Reflective,Dim Light,Lithograph,Interior Designers
Noah,Portrait,Abstract Expressionism,Acrylic,"24""x36""",No,Miami,339,6,Express,Cool Tones,Copy,Real,Bedroom,Calming,Dim Light,N/A,Interior Designers
Vincent,Abstract,Realism,Mixed Media,"24""x36""",No,Chicago,515,6,Free Shipping,Oceanic Tones,Copy,Real,Living Room,Relaxing,Bright Light,Giclée,Art Collectors
Jija,Seascape,Surrealism,Watercolor,"30""x40""",Yes,Montreal,719,8,Standard,Cool Tones,Copy,Real,Office,Relaxing,Natural Light,Lithograph,Corporate Clients
Vincent,Wildlife,Modern,Charcoal,"20""x30""",Yes,Chicago,413,4,Free Shipping,Warm Tones,Copy,Print,Gallery,Calming,Natural Light,Lithograph,Young Professionals
Ava,Landscape,Impressionism,Watercolor,"16""x20""",No,Calgary,234,7,Free Shipping,Cool Tones,Original,Real,Office,Calming,Dim Light,Screen Print,Families
Noah,Seascape,Impressionism,Mixed Media,"30""x40""",No,Montreal,576,6,Express,Warm Tones,Original,Print,Living Room,Calming,Bright Light,Lithograph,Interior Designers
Noah,Still Life,Impressionism,Oil,"20""x30""",No,Toronto,715,3,Free Shipping,Neutral Tones,Copy,Print,Gallery,Relaxing,Dim Light,Screen Print,Art Collectors
Vincent,Abstract,Impressionism,Charcoal,"20""x30""",Yes,Vancouver,956,6,Standard,Neutral Tones,Copy,Real,Bedroom,Relaxing,Bright Light,Screen Print,Interior Designers
Vincent,Still Life,Realism,Oil,"30""x40""",No,Toronto,913,7,Standard,Earthy Tones,Original,Print,Office,Energetic,Bright Light,Giclée,Interior Designers
Frida,Landscape,Surrealism,Oil,"20""x30""",No,Los Angeles,644,4,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Bright Light,Screen Print,Art Collectors
Leonardo,Landscape,Realism,Mixed Media,"16""x20""",No,Chicago,508,3,Standard,Oceanic Tones,Original,Print,Living Room,Joyful,Bright Light,Screen Print,Corporate Clients
Ava,Abstract,Abstract Expressionism,Acrylic,"30""x40""",Yes,Calgary,938,7,Free Shipping,Neutral Tones,Copy,Print,Kid Room,Joyful,Dim Light,N/A,Art Collectors
Ava,Wildlife,Modern,Mixed Media,"18""x24""",No,Chicago,649,7,Express,Oceanic Tones,Original,Real,Living Room,Relaxing,Natural Light,Giclée,Art Collectors
Noah,Still Life,Impressionism,Watercolor,"20""x30""",No,Calgary,272,7,Express,Warm Tones,Copy,Real,Office,Calming,Bright Light,N/A,Young Professionals
Claude,Landscape,Realism,Charcoal,"20""x30""",No,Toronto,848,4,Free Shipping,Earthy Tones,Copy,Real,Bedroom,Energetic,Dim Light,Screen Print,Corporate Clients
Liam,Seascape,Abstract Expressionism,Charcoal,"18""x24""",Yes,Miami,719,10,Standard,Earthy Tones,Copy,Real,Gallery,Energetic,Natural Light,N/A,Families
Vincent,Portrait,Abstract Expressionism,Charcoal,"30""x40""",No,Montreal,294,8,Free Shipping,Earthy Tones,Original,Real,Kid Room,Calming,Dim Light,Fine Art Print,Young Professionals
Frida,Portrait,Modern,Watercolor,"20""x30""",No,Chicago,891,4,Express,Warm Tones,Original,Real,Kid Room,Energetic,Bright Light,Lithograph,Corporate Clients
Vincent,Seascape,Realism,Watercolor,"20""x30""",No,Miami,816,5,Standard,Earthy Tones,Copy,Print,Gallery,Joyful,Dim Light,N/A,Interior Designers
Liam,Wildlife,Impressionism,Watercolor,"18""x24""",Yes,Chicago,272,6,Standard,Cool Tones,Copy,Real,Gallery,Calming,Natural Light,Giclée,Interior Designers
Vincent,Still Life,Modern,Mixed Media,"20""x30""",No,Chicago,774,3,Express,Neutral Tones,Copy,Real,Kid Room,Reflective,Dim Light,Fine Art Print,Interior Designers
Emma,Wildlife,Abstract Expressionism,Oil,"20""x30""",No,Miami,918,8,Express,Oceanic Tones,Copy,Print,Gallery,Reflective,Bright Light,Lithograph,Families
Pablo,Seascape,Cubism,Acrylic,"18""x24""",Yes,Chicago,975,4,Standard,Warm Tones,Original,Real,Living Room,Calming,Natural Light,Giclée,Families
Jija,Wildlife,Modern,Watercolor,"30""x40""",No,Montreal,197,5,Standard,Cool Tones,Copy,Print,Living Room,Energetic,Dim Light,Screen Print,Corporate Clients
Liam,Fantasy,Cubism,Mixed Media,"30""x40""",No,New York,663,5,Free Shipping,Cool Tones,Copy,Real,Bedroom,Relaxing,Bright Light,Lithograph,Art Collectors
Frida,Landscape,Modern,Watercolor,"16""x20""",No,Chicago,719,7,Free Shipping,Neutral Tones,Original,Print,Office,Reflective,Bright Light,Screen Print,Families
Jija,Wildlife,Realism,Watercolor,"24""x36""",Yes,Montreal,816,7,Standard,Earthy Tones,Original,Print,Living Room,Reflective,Bright Light,Giclée,Art Collectors
Emma,Fantasy,Cubism,Oil,"30""x40""",No,Chicago,848,10,Express,Cool Tones,Original,Real,Office,Relaxing,Dim Light,Lithograph,Young Professionals
Vincent,Landscape,Abstract Expressionism,Charcoal,"16""x20""",No,Chicago,924,6,Express,Earthy Tones,Original,Real,Bedroom,Calming,Bright Light,N/A,Families
Noah,Still Life,Abstract Expressionism,Oil,"30""x40""",No,Vancouver,384,5,Express,Oceanic Tones,Copy,Real,Gallery,Relaxing,Natural Light,Screen Print,Art Collectors
Frida,Wildlife,Modern,Oil,"30""x40""",No,Montreal,149,8,Express,Warm Tones,Copy,Print,Office,Relaxing,Bright Light,Giclée,Art Collectors
Frida,Landscape,Surrealism,Charcoal,"24""x36""",No,Chicago,918,4,Standard,Cool Tones,Copy,Print,Office,Reflective,Dim Light,Giclée,Families
Vincent,Seascape,Modern,Watercolor,"16""x20""",Yes,Miami,344,4,Standard,Cool Tones,Copy,Print,Living Room,Joyful,Bright Light,Giclée,Young Professionals
Emma,Wildlife,Surrealism,Oil,"24""x36""",No,Miami,265,10,Express,Earthy Tones,Copy,Print,Office,Reflective,Bright Light,Giclée,Corporate Clients
Vincent,Wildlife,Cubism,Watercolor,"30""x40""",Yes,Vancouver,623,4,Free Shipping,Earthy Tones,Original,Print,Kid Room,Joyful,Dim Light,Screen Print,Interior Designers
Pablo,Fantasy,Abstract Expressionism,Watercolor,"16""x20""",No,Montreal,875,9,Express,Warm Tones,Copy,Print,Bedroom,Calming,Bright Light,Screen Print,Art Collectors
Noah,Still Life,Cubism,Oil,"20""x30""",No,Chicago,130,9,Free Shipping,Cool Tones,Original,Print,Kid Room,Relaxing,Natural Light,Screen Print,Families
Leonardo,Abstract,Surrealism,Charcoal,"24""x36""",Yes,Toronto,127,3,Standard,Earthy Tones,Copy,Real,Living Room,Relaxing,Dim Light,Lithograph,Families
Leonardo,Landscape,Surrealism,Acrylic,"24""x36""",No,New York,975,9,Express,Neutral Tones,Copy,Print,Bedroom,Calming,Bright Light,N/A,Interior Designers
Emma,Seascape,Cubism,Mixed Media,"24""x36""",Yes,Miami,623,3,Standard,Cool Tones,Copy,Print,Kid Room,Energetic,Natural Light,Screen Print,Art Collectors
Emma,Fantasy,Abstract Expressionism,Oil,"16""x20""",No,New York,825,7,Standard,Earthy Tones,Original,Print,Bedroom,Joyful,Bright Light,N/A,Corporate Clients
Leonardo,Landscape,Modern,Acrylic,"24""x36""",No,Miami,644,9,Free Shipping,Neutral Tones,Original,Print,Kid Room,Calming,Dim Light,Lithograph,Young Professionals
Claude,Still Life,Cubism,Oil,"18""x24""",Yes,Los Angeles,222,3,Free Shipping,Earthy Tones,Original,Print,Office,Relaxing,Bright Light,N/A,Corporate Clients
Claude,Portrait,Impressionism,Oil,"20""x30""",Yes,Calgary,746,10,Standard,Neutral Tones,Copy,Real,Gallery,Relaxing,Dim Light,Screen Print,Interior Designers
Liam,Wildlife,Realism,Oil,"24""x36""",Yes,Miami,771,7,Standard,Cool Tones,Original,Real,Gallery,Joyful,Natural Light,Screen Print,Art Collectors
Emma,Landscape,Abstract Expressionism,Oil,"16""x20""",No,Los Angeles,731,6,Express,Oceanic Tones,Copy,Print,Kid Room,Relaxing,Bright Light,Fine Art Print,Interior Designers
Vincent,Portrait,Abstract Expressionism,Charcoal,"24""x36""",Yes,Montreal,477,6,Express,Earthy Tones,Copy,Real,Gallery,Energetic,Dim Light,Lithograph,Families
Ava,Wildlife,Realism,Watercolor,"18""x24""",Yes,Toronto,294,9,Standard,Oceanic Tones,Original,Real,Kid Room,Energetic,Natural Light,N/A,Corporate Clients
Pablo,Portrait,Surrealism,Oil,"16""x20""",Yes,Chicago,918,3,Standard,Earthy Tones,Original,Print,Living Room,Relaxing,Dim Light,Lithograph,Art Collectors
Vincent,Portrait,Modern,Watercolor,"16""x20""",No,Chicago,221,9,Standard,Neutral Tones,Original,Real,Gallery,Energetic,Bright Light,N/A,Young Professionals
Ava,Fantasy,Impressionism,Charcoal,"18""x24""",Yes,Los Angeles,334,9,Free Shipping,Cool Tones,Copy,Print,Living Room,Joyful,Dim Light,Screen Print,Corporate Clients
Claude,Landscape,Realism,Watercolor,"20""x30""",No,Montreal,918,6,Express,Warm Tones,Original,Print,Kid Room,Relaxing,Natural Light,Screen Print,Interior Designers
Liam,Still Life,Cubism,Acrylic,"20""x30""",No,Miami,127,3,Free Shipping,Neutral Tones,Copy,Real,Office,Energetic,Bright Light,Screen Print,Families
Pablo,Fantasy,Cubism,Watercolor,"24""x36""",Yes,Montreal,890,10,Free Shipping,Cool Tones,Original,Print,Gallery,Calming,Bright Light,Giclée,Young Professionals
Claude,Seascape,Realism,Charcoal,"30""x40""",No,Los Angeles,459,10,Free Shipping,Oceanic Tones,Copy,Real,Bedroom,Calming,Bright Light,Screen Print,Art Collectors
Olivia,Fantasy,Realism,Mixed Media,"30""x40""",Yes,New York,782,4,Free Shipping,Earthy Tones,Original,Print,Gallery,Relaxing,Dim Light,Lithograph,Art Collectors
Ava,Portrait,Realism,Watercolor,"30""x40""",No,Los Angeles,924,7,Free Shipping,Earthy Tones,Original,Print,Kid Room,Energetic,Dim Light,Screen Print,Interior Designers
Noah,Wildlife,Surrealism,Watercolor,"30""x40""",Yes,Montreal,179,8,Express,Warm Tones,Copy,Real,Gallery,Energetic,Dim Light,Giclée,Art Collectors
Emma,Portrait,Realism,Watercolor,"24""x36""",Yes,Calgary,907,4,Free Shipping,Oceanic Tones,Original,Print,Living Room,Energetic,Natural Light,Giclée,Corporate Clients
Jija,Still Life,Modern,Watercolor,"16""x20""",Yes,Montreal,130,4,Standard,Earthy Tones,Original,Print,Kid Room,Relaxing,Natural Light,Lithograph,Corporate Clients
Frida,Wildlife,Surrealism,Mixed Media,"20""x30""",No,Miami,539,6,Standard,Neutral Tones,Original,Print,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors
Claude,Seascape,Abstract Expressionism,Watercolor,"20""x30""",No,Toronto,127,4,Standard,Oceanic Tones,Copy,Print,Office,Relaxing,Dim Light,Screen Print,Interior Designers
Pablo,Landscape,Realism,Charcoal,"16""x20""",Yes,Vancouver,663,7,Standard,Neutral Tones,Copy,Print,Kid Room,Energetic,Bright Light,Fine Art Print,Families
Frida,Portrait,Impressionism,Charcoal,"30""x40""",Yes,New York,938,5,Free Shipping,Cool Tones,Copy,Real,Office,Joyful,Bright Light,Lithograph,Families
Noah,Seascape,Abstract Expressionism,Mixed Media,"20""x30""",No,Calgary,299,10,Free Shipping,Neutral Tones,Copy,Real,Gallery,Calming,Natural Light,Screen Print,Young Professionals
Claude,Seascape,Abstract Expressionism,Watercolor,"20""x30""",Yes,Chicago,339,10,Standard,Warm Tones,Original,Real,Bedroom,Relaxing,Natural Light,Giclée,Art Collectors
Noah,Abstract,Surrealism,Acrylic,"24""x36""",Yes,Toronto,853,6,Standard,Cool Tones,Copy,Real,Gallery,Calming,Dim Light,Giclée,Interior Designers
Liam,Abstract,Surrealism,Oil,"24""x36""",Yes,Miami,605,9,Standard,Neutral Tones,Copy,Real,Office,Calming,Natural Light,N/A,Families
Leonardo,Portrait,Abstract Expressionism,Oil,"18""x24""",No,Calgary,707,10,Express,Warm Tones,Original,Print,Office,Reflective,Natural Light,Lithograph,Families
Liam,Abstract,Cubism,Mixed Media,"18""x24""",No,Los Angeles,344,4,Express,Neutral Tones,Original,Real,Kid Room,Joyful,Dim Light,Fine Art Print,Families
Vincent,Fantasy,Abstract Expressionism,Mixed Media,"24""x36""",Yes,Vancouver,918,9,Standard,Cool Tones,Original,Print,Living Room,Calming,Bright Light,Giclée,Interior Designers
Ava,Landscape,Modern,Mixed Media,"18""x24""",Yes,Miami,727,4,Free Shipping,Warm Tones,Copy,Print,Office,Joyful,Natural Light,N/A,Interior Designers
Pablo,Portrait,Surrealism,Acrylic,"30""x40""",No,Chicago,225,4,Standard,Earthy Tones,Original,Real,Bedroom,Joyful,Dim Light,Screen Print,Families
Claude,Seascape,Abstract Expressionism,Mixed Media,"18""x24""",Yes,Montreal,234,9,Standard,Cool Tones,Original,Print,Living Room,Joyful,Natural Light,N/A,Young Professionals
Pablo,Wildlife,Cubism,Oil,"24""x36""",Yes,Vancouver,640,9,Express,Earthy Tones,Original,Print,Bedroom,Reflective,Bright Light,N/A,Corporate Clients
Claude,Landscape,Modern,Acrylic,"18""x24""",No,Miami,794,9,Free Shipping,Cool Tones,Copy,Print,Gallery,Relaxing,Natural Light,Lithograph,Young Professionals
Claude,Portrait,Abstract Expressionism,Mixed Media,"24""x36""",No,Toronto,339,5,Express,Earthy Tones,Original,Real,Gallery,Joyful,Dim Light,Screen Print,Art Collectors
Frida,Landscape,Realism,Charcoal,"20""x30""",Yes,Chicago,879,9,Free Shipping,Earthy Tones,Copy,Real,Kid Room,Calming,Natural Light,Fine Art Print,Young Professionals
Emma,Wildlife,Realism,Charcoal,"20""x30""",Yes,New York,875,7,Express,Oceanic Tones,Copy,Print,Living Room,Reflective,Dim Light,N/A,Interior Designers
Olivia,Still Life,Surrealism,Oil,"18""x24""",No,New York,707,8,Free Shipping,Warm Tones,Original,Print,Office,Energetic,Bright Light,Giclée,Corporate Clients
Jija,Abstract,Realism,Watercolor,"30""x40""",No,Montreal,290,8,Standard,Cool Tones,Copy,Print,Bedroom,Reflective,Bright Light,Screen Print,Corporate Clients
Noah,Portrait,Modern,Charcoal,"30""x40""",Yes,Montreal,956,9,Standard,Oceanic Tones,Original,Print,Bedroom,Calming,Dim Light,Screen Print,Corporate Clients
Vincent,Seascape,Surrealism,Oil,"20""x30""",No,New York,528,4,Standard,Cool Tones,Original,Print,Gallery,Calming,Bright Light,Lithograph,Interior Designers
Noah,Abstract,Realism,Oil,"18""x24""",Yes,Los Angeles,918,8,Free Shipping,Neutral Tones,Copy,Real,Office,Reflective,Bright Light,Giclée,Families
Noah,Landscape,Surrealism,Watercolor,"30""x40""",No,Los Angeles,918,8,Free Shipping,Warm Tones,Copy,Real,Bedroom,Joyful,Bright Light,Screen Print,Art Collectors
Claude,Still Life,Abstract Expressionism,Mixed Media,"18""x24""",No,Toronto,680,3,Free Shipping,Oceanic Tones,Copy,Real,Bedroom,Relaxing,Natural Light,Giclée,Families
Frida,Still Life,Cubism,Acrylic,"20""x30""",No,Toronto,853,9,Free Shipping,Oceanic Tones,Original,Real,Bedroom,Reflective,Bright Light,N/A,Young Professionals
Frida,Abstract,Cubism,Mixed Media,"18""x24""",Yes,Calgary,663,4,Standard,Warm Tones,Original,Print,Office,Reflective,Bright Light,Giclée,Families
Noah,Fantasy,Cubism,Acrylic,"16""x20""",Yes,Montreal,683,4,Free Shipping,Earthy Tones,Copy,Print,Kid Room,Reflective,Bright Light,N/A,Young Professionals
Claude,Wildlife,Abstract Expressionism,Watercolor,"24""x36""",No,Miami,975,10,Standard,Oceanic Tones,Copy,Real,Bedroom,Relaxing,Natural Light,Lithograph,Interior Designers
Leonardo,Abstract,Surrealism,Oil,"20""x30""",Yes,Montreal,704,4,Express,Cool Tones,Copy,Print,Kid Room,Energetic,Dim Light,Screen Print,Interior Designers
